Date,Apple Stand Hour (count),Apple Stand Time (min),Headphone Audio Exposure (dBASPL),Step Count (count),Walking + Running Distance (km),Walking Asymmetry Percentage (%),Walking Speed (km/hr),Walking Step Length (cm) 
2016-08-13 00:00:00,,,,25718,13.93,,, 
2016-08-14 00:00:00,,,,19218,12.04,,,
2016-08-15 00:00:00,,,,11779,8.67,,,
2016-08-16 00:00:00,,,,25631,19.34,,,
2016-08-17 00:00:00,,,,11181,6.42,,,
2016-08-18 00:00:00,,,,5349,3.13,,,
2016-08-19 00:00:00,,,,4177,2.49,,,
2016-08-20 00:00:00,,,,7178,4.52,,,
2016-08-21 00:00:00,,,,11049,6.61,,,
2016-08-22 00:00:00,,,,9512,5.2,,,
2016-08-23 00:00:00,,,,13707,7.45,,,
2016-08-24 00:00:00,,,,4794,2.83,,,
2016-08-25 00:00:00,,,,9585,5.18,,,
2016-08-26 00:00:00,,,,11797,7.22,,,
2016-08-27 00:00:00,,,,21714,13.58,,,
2016-08-28 00:00:00,,,,18114,10.51,,,
2016-08-29 00:00:00,,,,3918,2.94,,,
2016-08-30 00:00:00,,,,4505,2.63,,,
2016-08-31 00:00:00,,,,446,0.278,,,
2016-09-01 00:00:00,,,,6943,3.96,,,
2016-09-02 00:00:00,,,,7031,5.09,,,
2016-09-03 00:00:00,,,,4397,2.86,,,
2016-09-04 00:00:00,,,,4089,2.69,,,
2016-09-05 00:00:00,,,,7165,4.65,,,
2016-09-06 00:00:00,,,,9086,5.63,,,
2016-09-07 00:00:00,,,,9266,5.81,,,
2016-09-08 00:00:00,,,,6319,3.7,,,
2016-09-09 00:00:00,,,,9016,5.75,,,
2016-09-10 00:00:00,,,,17192,11.44,,,
2016-09-11 00:00:00,,,,1867,1.06,,,
2016-09-12 00:00:00,,,,6901,4.33,,,
2016-09-13 00:00:00,,,,8455,5.94,,,
2016-09-14 00:00:00,,,,772,0.463,,,
2016-09-15 00:00:00,,,,5877,3.3,,,
2016-09-16 00:00:00,,,,8105,5.62,,,
2016-09-17 00:00:00,,,,7787,5.02,,,
2016-09-18 00:00:00,,,,2350,1.37,,,
2016-09-19 00:00:00,,,,6292,3.58,,,
2016-09-20 00:00:00,,,,6662,4,,,
2016-09-21 00:00:00,,,,899,0.543,,,
2016-09-22 00:00:00,,,,6290,3.66,,,
2016-09-23 00:00:00,,,,8674,5.34,,,
2016-09-24 00:00:00,,,,4039,2.76,,,
2016-09-25 00:00:00,,,,684,0.406,,,
2016-09-26 00:00:00,,,,5425,3.6,,,
2016-09-27 00:00:00,,,,9696,6.19,,,
2016-09-28 00:00:00,,,,1458,0.912,,,
2016-09-29 00:00:00,,,,6063,3.6,,,
2016-09-30 00:00:00,,,,13139,8.31,,,
2016-10-01 00:00:00,,,,4810,2.95,,,
2016-10-02 00:00:00,,,,3529,1.93,,,
2016-10-03 00:00:00,,,,7201,4.18,,,
2016-10-04 00:00:00,,,,9084,5.41,,,
2016-10-05 00:00:00,,,,1810,1.06,,,
2016-10-06 00:00:00,,,,6267,3.66,,,
2016-10-07 00:00:00,,,,7751,4.89,,,
2016-10-08 00:00:00,,,,7867,4.56,,,
2016-10-09 00:00:00,,,,167,0.11,,,
2016-10-10 00:00:00,,,,6252,3.67,,,
2016-10-11 00:00:00,,,,8797,5.62,,,
2016-10-12 00:00:00,,,,1378,0.827,,,
2016-10-13 00:00:00,,,,6288,3.6,,,
2016-10-14 00:00:00,,,,7680,4.76,,,
2016-10-15 00:00:00,,,,4790,2.98,,,
2016-10-16 00:00:00,,,,80,0.052,,,
2016-10-17 00:00:00,,,,6698,4.03,,,
2016-10-18 00:00:00,,,,10170,6.34,,,
2016-10-19 00:00:00,,,,2588,1.8,,,
2016-10-20 00:00:00,,,,1469,1.07,,,
2016-10-21 00:00:00,,,,2820,2.06,,,
2016-10-22 00:00:00,,,,4511,2.86,,,
2016-10-23 00:00:00,,,,2438,1.46,,,
2016-10-24 00:00:00,,,,549,0.387,,,
2016-10-25 00:00:00,,,,1806,1.39,,,
2016-10-26 00:00:00,,,,7459,4.64,,,
2016-10-27 00:00:00,,,,1656,1.42,,,
2016-10-28 00:00:00,,,,1685,1.33,,,
2016-10-29 00:00:00,,,,3852,2.45,,,
2016-10-30 00:00:00,,,,5797,3.55,,,
2016-10-31 00:00:00,,,,8961,6.13,,,
2016-11-01 00:00:00,,,,2263,1.32,,,
2016-11-02 00:00:00,,,,1599,1.28,,,
2016-11-03 00:00:00,,,,6064,3.37,,,
2016-11-04 00:00:00,,,,8391,5.11,,,
